Venue Name,Type,Campus,Capacity,Notes
Michael J. Kelly Lecture Theatre (formerly NELT),Lecture Theatre,Great East Road Campus,Large,Renamed in honor of Prof. Michael J. Kelly
Teaching & Learning Complex LT 1,Lecture Theatre,Great East Road Campus,350,Constructed via Graduare Property Development partnership
Teaching & Learning Complex LT 2,Lecture Theatre,Great East Road Campus,350,Constructed via Graduare Property Development partnership
ACEIDAH Lecture Theatre,Lecture Theatre,Great East Road Campus,360,African Centre of Excellence for Infectious Diseases
School of Engineering LT 1,Lecture Theatre,Great East Road Campus,250,Expanded infrastructure expansion
School of Engineering LT 2,Lecture Theatre,Great East Road Campus,250,Expanded infrastructure expansion
School of Public Health Lecture Theatre,Lecture Theatre,Ridgeway Campus,Large,Supported by US Govt/CDC
Special Needs Education Centre Auditorium,Auditorium / Centre,Great East Road Campus,Medium,"School of Education, supported by CBM Germany"
UNZA Main Library Auditorium,Library / Study Area,Great East Road Campus,Large,Central university library hub
Confucius Institute Lecture Hall,Lecture Hall,Great East Road Campus,Medium,Located near the Population Studies teaching building
Goma Lakes Open Space,Outdoor Venue,Great East Road Campus,Varies,"Often used for events, located near Student Affairs Unit"
Graduare Conference Facility 1,Conference Room,Great East Road Campus,60,Part of the Teaching & Learning Complex
Graduare Conference Facility 2,Conference Room,Great East Road Campus,60,Part of the Teaching & Learning Complex
